cell.id,area,gfpMeanBgAFsub,mcherryMeanBgAFsub,degron,red,treatment,experiment,exp.field,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,volume,area.puncta,pos.x.puncta,pos.y.puncta,rfp.mean.bg.sub,dapi.mean.bg.sub,rfp.mean.bg.sub.puncta,dapi.mean.bg.sub.puncta,no.bud.scars
1000000485_20min_s2_mODC_tef2-mCherry_none,2865.93,370.5935752588737,1113.651,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000487_20min_s2_mODC_tef2-mCherry_none,3577.74,437.4755752588738,648.894,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000488_20min_s2_mODC_tef2-mCherry_none,4039.67,283.7255752588738,810.0709999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000489_20min_s2_mODC_tef2-mCherry_none,3169.24,307.28057525887374,625.1569999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000490_20min_s2_mODC_tef2-mCherry_none,3597.53,200.94757525887377,749.1009999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000494_20min_s2_mODC_tef2-mCherry_none,2179.65,258.45257525887376,717.9309999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000495_20min_s2_mODC_tef2-mCherry_none,1282.28,194.79557525887373,667.151,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000496_20min_s2_mODC_tef2-mCherry_none,2103.8,188.58157525887376,904.371,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000498_20min_s2_mODC_tef2-mCherry_none,2361.78,166.62657525887374,1010.041,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000499_20min_s2_mODC_tef2-mCherry_none,3146.56,539.0055752588737,726.261,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000501_20min_s2_mODC_tef2-mCherry_none,2022.78,98.52857525887376,688.7059999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000502_20min_s2_mODC_tef2-mCherry_none,3287.8,437.2255752588738,824.6610000000001,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000503_20min_s2_mODC_tef2-mCherry_none,2675.31,411.6445752588738,745.171,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000504_20min_s2_mODC_tef2-mCherry_none,2252.1,217.60257525887377,819.3509999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000506_20min_s2_mODC_tef2-mCherry_none,887.914,208.07157525887368,475.2339999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000508_20min_s2_mODC_tef2-mCherry_none,3365,211.3345752588737,733.961,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000511_20min_s2_mODC_tef2-mCherry_none,3268.73,415.80457525887374,667.442,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000513_20min_s2_mODC_tef2-mCherry_none,3048.82,401.8975752588737,627.578,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000514_20min_s2_mODC_tef2-mCherry_none,2999.12,365.6765752588737,785.6309999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000515_20min_s2_mODC_tef2-mCherry_none,3003.9,366.20757525887376,766.8109999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000516_20min_s2_mODC_tef2-mCherry_none,3317.21,324.5505752588737,575.836,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000517_20min_s2_mODC_tef2-mCherry_none,1148.6,141.38457525887378,570.8779999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000518_20min_s2_mODC_tef2-mCherry_none,3275,431.0955752588737,972.421,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000519_20min_s2_mODC_tef2-mCherry_none,950.371,224.65857525887375,590.586,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000520_20min_s2_mODC_tef2-mCherry_none,2745.73,311.5235752588738,823.1510000000001,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000521_20min_s2_mODC_tef2-mCherry_none,3183.45,177.03157525887372,709.5409999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000522_20min_s2_mODC_tef2-mCherry_none,3817.29,219.32857525887377,681.496,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000523_20min_s2_mODC_tef2-mCherry_none,2805.27,191.7435752588737,749.1610000000001,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000524_20min_s2_mODC_tef2-mCherry_none,2111.41,239.34557525887368,841.8009999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000525_20min_s2_mODC_tef2-mCherry_none,1378.27,242.66357525887375,628.957,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000526_20min_s2_mODC_tef2-mCherry_none,2405.82,276.83357525887374,690.5889999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000528_20min_s2_mODC_tef2-mCherry_none,816.824,173.58757525887376,643.26,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000529_20min_s2_mODC_tef2-mCherry_none,2921.28,436.62557525887377,496.6579999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000530_20min_s2_mODC_tef2-mCherry_none,2968.82,326.5615752588737,970.491,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000531_20min_s2_mODC_tef2-mCherry_none,1054.13,124.32057525887367,706.9309999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000532_20min_s2_mODC_tef2-mCherry_none,3436.9,481.85557525887367,706.471,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000533_20min_s2_mODC_tef2-mCherry_none,2171.26,55.49657525887373,833.4010000000001,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000534_20min_s2_mODC_tef2-mCherry_none,1871.65,286.88657525887373,926.541,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000535_20min_s2_mODC_tef2-mCherry_none,3105.81,263.65957525887376,577.7729999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000536_20min_s2_mODC_tef2-mCherry_none,3257.51,130.54357525887377,742.3209999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000538_20min_s2_mODC_tef2-mCherry_none,3770.87,105.10757525887372,1119.541,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000539_20min_s2_mODC_tef2-mCherry_none,3129.68,338.66457525887375,837.921,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000541_20min_s2_mODC_tef2-mCherry_none,3011.03,270.5615752588737,571.2819999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000542_20min_s2_mODC_tef2-mCherry_none,1903.44,361.9365752588737,819.8009999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000543_20min_s2_mODC_tef2-mCherry_none,1190.51,192.5525752588738,420.972,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000546_20min_s2_mODC_tef2-mCherry_none,3163.72,480.12557525887365,924.941,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000547_20min_s2_mODC_tef2-mCherry_none,3405.47,531.3155752588737,723.3309999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000548_20min_s2_mODC_tef2-mCherry_none,2989.9,188.9605752588737,738.201,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000550_20min_s2_mODC_tef2-mCherry_none,1274,303.09657525887377,803.171,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000551_20min_s2_mODC_tef2-mCherry_none,2871.64,328.4735752588737,862.5509999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000000552_20min_s2_mODC_tef2-mCherry_none,1580.29,89.25857525887368,602.0889999999999,mODC,tef2-mCherry,none,20min,20min_s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
