cell.id,f,dy,dm,value,degron,red,treatment,model,aic,exp.field,colony,gfp.mean.bg.af.sub.new,area,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,rfp.mean.bg.sub.puncta,rfp.sum.bg.sub.puncta,dapi.sum.bg.sub.puncta,dapi.mean.bg.sub.puncta
1000001755_20min_s4_mODC.2_pup1-rfp_none,0,0.10561994997838556,0.07447527092749978,0.01436255095937981,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-231.9906670586054,20min_s4,Replicate 1,450.3480166666667,883.033,12.437,12.8659,401,970.882,975.899,0.451209,124.62791666666668,17572.593249999998,16357.749500000002,116.0121666666667
1000001758_20min_s4_mODC.2_pup1-rfp_none,0,0.08071131210711043,0.21571757110564055,0.03820206518977979,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-201.66444010944844,20min_s4,Replicate 1,348.6970166666666,2253.53,19.7248,21.4357,1059,1004.15,987.881,0.344032,96.03691666666668,10179.921166666669,7822.733666666667,73.79916666666668
1000001759_20min_s4_mODC.2_pup1-rfp_none,0,0.12294772699825351,0.4870896255946221,0.06503442792033055,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-185.17159649786083,20min_s4,Replicate 1,544.4640166666667,2328.16,19.4777,22.7798,1081,980.511,1025.23,0.340055,211.9449166666667,37090.36041666666,35115.07916666667,200.65716666666668
1000001761_20min_s4_mODC.2_pup1-rfp_none,0,0.09594754048514452,0.27246542647902927,0.02117927789653282,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-219.95029636322369,20min_s4,Replicate 1,380.9160166666667,2691.52,21.2389,23.8917,1271,1149.99,862.17,0.325995,134.05391666666668,23325.4555,30067.393000000004,172.8011666666667
1000001762_20min_s4_mODC.2_pup1-rfp_none,0,0.10256544174919076,0.8736189741372794,0.03535941902752365,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-204.0615079575472,20min_s4,Replicate 1,586.5220166666667,1556.44,16.0122,18.0401,723,1124.25,887.607,0.383782,142.21091666666666,20905.02275,35578.866500000004,242.03316666666663
1000001766_20min_s4_mODC.2_pup1-rfp_none,0,0.16801136003954306,0.03107457542880869,0.01755359603750538,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-225.7709932158156,20min_s4,Replicate 1,376.3990166666666,2759.37,21.3435,24.3755,1304,1095.27,971.781,0.323608,152.10291666666666,31485.31775,16990.036500000002,82.0771666666667
1000001767_20min_s4_mODC.2_pup1-rfp_none,0,0.13530003414735578,0.5010803966962859,0.02911257720776787,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-210.0877380825608,20min_s4,Replicate 1,296.97401666666667,1400.12,14.4361,17.8946,647,1077.33,1007.73,0.39542,117.04891666666668,15450.449,26413.574,200.10316666666665
1000001773_20min_s4_mODC.2_pup1-rfp_none,0,0.08955707195655814,412.72796382909905,0.03761595090777889,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-202.14374319953652,20min_s4,Replicate 1,162.55801666666667,1632.75,13.1691,23.6466,738,1168.75,1030.53,0.374963,104.54791666666668,1463.6688333333334,2566.6063333333336,183.32916666666665
1000001775_20min_s4_mODC.2_pup1-rfp_none,0,0.11396589214829296,0.8647758581462809,0.00997066969000323,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-243.30493666836296,20min_s4,Replicate 1,347.7260166666666,1862.58,17.8983,19.5482,870,863.903,990.612,0.363663,153.1369166666667,21132.8785,40012.691000000006,289.9471666666667
1000001776_20min_s4_mODC.2_pup1-rfp_none,0,0.10364796022124032,0.4482646162152913,0.01603116577661637,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-228.58344163912193,20min_s4,Replicate 1,418.4040166666666,2858.65,22.1995,24.266,1352,1121.2,743.55,0.320287,131.12391666666667,29896.321,26418.446000000004,115.8701666666667
1000001777_20min_s4_mODC.2_pup1-rfp_none,0,0.1047312396479849,0.19486362295551896,0.02041701377739466,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-221.08659156691223,20min_s4,Replicate 1,546.9780166666667,1016.28,11.8087,15.6341,463,1142.61,711.107,0.432894,112.74791666666664,10034.537583333333,13530.068833333336,152.02316666666667
1000001781_20min_s4_mODC.2_pup1-rfp_none,0,0.10323973574083138,2.4400019211073665,0.01991362704803371,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-221.86048450398707,20min_s4,Replicate 1,113.8050166666667,2696.74,20.5525,24.6864,1273,1065.86,826.976,0.325866,155.13891666666666,28545.504666666668,31026.254666666668,168.62116666666668
1000001782_20min_s4_mODC.2_pup1-rfp_none,0,0.06982336093413546,1.1482765055468611,0.01026117023570597,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-242.41464335720104,20min_s4,Replicate 1,885.4560166666668,3030.61,22.7214,25.2158,1435,1169.73,736.06,0.3145,191.59091666666663,61692.38316666667,57387.945666666674,178.22316666666666
1000001783_20min_s4_mODC.2_pup1-rfp_none,0,0.0875495578848643,0.47375466629055407,0.02293869018692853,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-217.47644159294555,20min_s4,Replicate 1,390.5260166666667,2403.49,19.4683,23.2326,1131,899.446,1001.76,0.337217,131.47591666666665,13805.01625,25282.0475,240.7811666666667
1000001784_20min_s4_mODC.2_pup1-rfp_none,0,0.1479366472784319,0.1869055132087393,0.02703238972616782,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-212.38590822525717,20min_s4,Replicate 1,256.4830166666667,2627.52,18.9719,26.0429,1239,936.573,979.293,0.32808,163.2139166666667,33295.603,27794.978000000003,136.2501666666667
1000001786_20min_s4_mODC.2_pup1-rfp_none,0,0.17561689877060022,0.04826358433706567,0.01608450966181187,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-228.48046003034383,20min_s4,Replicate 1,278.6360166666667,3010.17,20.9526,27.2625,1426,1132.98,793.37,0.315008,167.06891666666667,37590.60625,26119.387500000004,116.08616666666666
1000001788_20min_s4_mODC.2_pup1-rfp_none,0,0.09402021361617308,0.3006914125185035,0.01221472516693248,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-237.01210863808268,20min_s4,Replicate 1,428.6300166666666,3399.08,25.0618,25.6553,1614,1057.16,885.482,0.30394,118.85191666666668,17827.7375,10994.925000000005,73.29916666666668
1000001789_20min_s4_mODC.2_pup1-rfp_none,0,0.15448423207889755,0.20369629935474623,0.01987871719269307,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-221.91487716739263,20min_s4,Replicate 1,287.3680166666667,3101.6,22.5363,26.1355,1471,1096.47,853.693,0.312428,106.05791666666666,6257.390083333334,2699.4838333333337,45.75416666666669
1000001790_20min_s4_mODC.2_pup1-rfp_none,0,0.09605265367177128,1.1352088019761783,0.02430275296172856,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-215.68573831687848,20min_s4,Replicate 1,361.5990166666666,3320.58,23.5001,26.7597,1577,1022.4,937.812,0.306079,150.21491666666668,45965.9045,33282.967000000004,108.76816666666669
1000001791_20min_s4_mODC.2_pup1-rfp_none,0,0.11520734117699974,7.850003375636189,0.00976001568071381,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-243.96690276880483,20min_s4,Replicate 1,201.89701666666667,2142.25,19.5733,20.5845,1005,1007.79,758.435,0.348949,124.64291666666666,15705.0195,15925.457000000002,126.3921666666667
1000001793_20min_s4_mODC.2_pup1-rfp_none,0,0.0841395147757072,1.026931490210715,0.01797761854815995,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-225.0310623105272,20min_s4,Replicate 1,551.8510166666666,2413.29,20.5497,22.0369,1136,809.627,974.268,0.336966,146.79691666666668,28625.45875,36435.802500000005,186.85016666666667
1000001800_20min_s4_mODC.2_pup1-rfp_none,0,0.08811562241658463,0.2702795260971442,0.01292757329192709,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-235.25377965082947,20min_s4,Replicate 1,521.1090166666667,2614.68,20.0239,24.5799,1233,1070.03,749.111,0.328888,160.9719166666667,59720.724083333334,34891.567833333334,94.04716666666668
1000001802_20min_s4_mODC.2_pup1-rfp_none,0,0.08861198137900074,0.34512668554134723,0.02147871595813014,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-219.51507981706857,20min_s4,Replicate 1,329.57501666666667,1370.69,13.9442,18.1269,633,813.734,1008.06,0.397547,98.67791666666666,6512.7245,9395.287,142.35316666666665
1000001803_20min_s4_mODC.2_pup1-rfp_none,0,0.12907241360042362,0.4905395772189772,0.01870217634272959,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-223.8061801168479,20min_s4,Replicate 1,335.3630166666667,2951.69,21.8237,25.5707,1398,888.923,955.883,0.317126,183.91291666666663,46713.84883333334,38028.28633333334,149.71716666666669
1000001804_20min_s4_mODC.2_pup1-rfp_none,0,0.11336151271443458,0.35568513384663697,0.02164531582346279,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-219.2755557602577,20min_s4,Replicate 1,438.1120166666667,3365.71,22.8522,27.887,1597,1023.06,829.432,0.304558,116.71491666666668,19024.501416666662,12539.84516666667,76.93116666666668
1000001805_20min_s4_mODC.2_pup1-rfp_none,0,0.0993780445043263,0.507585457624957,0.0235140522072863,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-216.708472517568,20min_s4,Replicate 1,510.0060166666667,3025.24,21.1039,27.1784,1432,1171.22,687.477,0.314414,157.7959166666667,34872.98658333333,22429.64283333334,101.49116666666669
1000001808_20min_s4_mODC.2_pup1-rfp_none,0,0.21617879555067093,8.169757110971438e-4,0.01375640926741032,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-233.32736682201784,20min_s4,Replicate 1,470.6110166666666,1040.7,11.9334,15.9307,475,736.963,949.569,0.429963,126.96491666666668,14727.970333333333,13746.595333333336,118.5051666666667
1000001808_20min_s7_mODC.2_pup1-rfp_none,0,0.16653852853587853,0.08570071706246356,0.01663463819359384,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-227.43791504220783,20min_s7,Replicate 3,518.85035,2018.75,15.3573,24.4773,941,1177.02,778.434,0.353885,136.85541666666666,25728.886333333332,16695.281333333332,88.80466666666669
1000001809_20min_s4_mODC.2_pup1-rfp_none,0,0.08603946418568571,0.3950948155733752,0.02252841247387509,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-218.0359210224337,20min_s4,Replicate 1,469.6980166666667,2830.5,20.4296,26.1115,1337,930.757,774.716,0.320915,166.5149166666667,42294.84883333334,65152.28633333334,256.5051666666667
1000001809_20min_s7_mODC.2_pup1-rfp_none,0,0.10072244100313914,1741.6721117227894,0.03476944298178581,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-204.58311028736,20min_s7,Replicate 3,431.36435000000006,1456.25,12.8408,21.3594,657,925.607,1030.66,0.388406,121.90941666666669,8411.78275,12868.199,186.49566666666664
1000001811_20min_s4_mODC.2_pup1-rfp_none,0.12115791635603872,0.11533746599022791,192.43684950424264,0.02913101576832703,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-210.068110330658,20min_s4,Replicate 1,115.8050166666667,2446.77,20.5703,22.3579,1151,795.796,907.477,0.335311,146.2259166666667,27782.934166666662,44493.371666666666,234.17516666666663
1000001813_20min_s4_mODC.2_pup1-rfp_none,0,0.07341104992896229,0.2687529814098634,0.01536611919015985,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-229.896900959482,20min_s4,Replicate 1,692.1160166666666,1218.15,12.9873,17.2057,559,1150.22,550.84,0.410915,111.18991666666666,13676.30475,13223.398500000005,107.5071666666667
1000001815_20min_s4_mODC.2_pup1-rfp_none,0,0.14356296502183957,0.17734442976882542,0.02469498465347662,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-215.1894116384401,20min_s4,Replicate 1,356.2210166666666,1176.45,13.8311,15.5958,540,989.539,723.054,0.415633,125.01091666666666,13001.111333333332,10958.361333333334,105.36916666666669
1000001818_20min_s4_mODC.2_pup1-rfp_none,0,0.12303780706626748,0.2919851646996878,0.03048199878153372,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-208.6627915172849,20min_s4,Replicate 1,282.5000166666666,2677.88,20.5564,24.5654,1265,730.698,1002.35,0.326582,144.80691666666667,34029.65541666666,58013.24916666667,246.86516666666665
1000001821_20min_s4_mODC.2_pup1-rfp_none,0,0.08323720587407545,0.558158237230202,0.01677139099564137,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-227.18410693345817,20min_s4,Replicate 1,338.98001666666664,3038.4,23.183,24.7258,1439,1030.68,726.137,0.314361,135.47691666666668,24385.885,17366.510000000002,96.48016666666666
1000001822_20min_s4_mODC.2_pup1-rfp_none,0,0.1082880270885941,0.8871337995662056,0.00412977688201671,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-270.6290921520318,20min_s4,Replicate 1,343.3280166666667,1883.8,17.695,19.8962,880,813.759,937.015,0.362692,117.60291666666669,13641.970333333333,14943.595333333336,128.82416666666666
1000001823_20min_s4_mODC.2_pup1-rfp_none,0,0.07936263757868602,0.3155081060388222,0.02164080076603489,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-219.28202281213487,20min_s4,Replicate 1,459.37901666666664,3459.11,23.7628,27.6418,1644,971.873,795.552,0.302058,201.96791666666667,76545.96341666667,53929.057166666666,142.2931666666667
1000001826_20min_s4_mODC.2_pup1-rfp_none,0,0.1106143846301025,0.24153785427272925,0.03011869482468484,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-209.0344888336359,20min_s4,Replicate 1,515.8770166666667,3267.15,21.9739,28.1566,1551,1126.81,511.927,0.307478,159.9689166666667,37432.750499999995,25836.563,110.41316666666664
1000001828_20min_s7_mODC.2_pup1-rfp_none,0,0.06804674188426722,0.6238069577280952,0.01168218721400009,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-238.3939951259008,20min_s7,Replicate 3,473.02535,2638.47,21.9828,22.5605,1245,841.073,987.948,0.328194,158.5534166666667,35991.676583333334,70430.35033333334,310.2656666666667
1000001829_20min_s4_mODC.2_pup1-rfp_none,0,0.09946190151922682,0.4266934560969854,0.02691697507468015,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-212.51854591867783,20min_s4,Replicate 1,470.5930166666667,2781.16,22.1048,23.7421,1315,730.377,913.65,0.323017,104.19291666666668,8335.393333333333,7267.893333333333,90.84916666666668
1000001829_20min_s7_mODC.2_pup1-rfp_none,0,0.08177609406971038,3.788569090425894,0.01156071709603032,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-238.7180172781709,20min_s7,Replicate 3,343.50435000000004,5014.63,26.1574,36.6624,2401,893.973,972.206,0.269371,212.7214166666667,83812.36816666667,69159.44066666666,175.53166666666667
1000001830_20min_s7_mODC.2_pup1-rfp_none,0,0.0883624491706171,0.3120874522391154,0.0219433567721164,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-218.8516193176752,20min_s7,Replicate 3,551.52835,3334.22,22.5805,27.9401,1583,1088.47,775.198,0.305627,187.22941666666668,60849.58541666667,60301.24166666667,185.5426666666667
1000001831_20min_s4_mODC.2_pup1-rfp_none,0,0.0943988647663614,0.23049900542823168,0.02341569878972905,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-216.8384097255604,20min_s4,Replicate 1,675.9960166666667,2146.76,19.6549,20.3298,1001,621.529,1023.38,0.348963,157.36391666666668,28797.59975,41528.5685,226.93216666666663
1000001832_20min_s7_mODC.2_pup1-rfp_none,0,0.12379094001392128,0.19466037989601312,0.02640479765798722,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-213.11409957105457,20min_s7,Replicate 3,416.75535,2833.22,21.6743,24.6521,1340,943.663,919.464,0.321105,122.47441666666668,27189.3445,22062.162000000004,99.37866666666665
1000001834_20min_s7_mODC.2_pup1-rfp_none,0,0.12858010313459348,0.542971409403902,0.03484459999347764,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-204.51617355539923,20min_s7,Replicate 3,266.49135,2008.07,18.9393,19.8164,941,978.481,879.292,0.356204,152.52841666666666,31115.749,39483.284,193.54566666666668
1000001836_20min_s7_mODC.2_pup1-rfp_none,0,0.10247636709555072,0.16194490613241144,0.05492715428472198,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-190.40777395369884,20min_s7,Replicate 3,57.58135000000006,2230.96,19.2628,21.7252,1047,868.246,1016.31,0.344863,141.94441666666663,27395.218416666667,18865.469666666664,97.74866666666664
1000001837_20min_s4_mODC.2_pup1-rfp_none,0,0.1431931031786769,0.14843311857879357,0.03582631416113463,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-203.65485465655297,20min_s4,Replicate 1,417.35001666666665,3045.03,21.0399,27.4037,1442,1166.88,516.027,0.313941,147.7289166666667,26886.694833333335,18734.882333333335,102.93916666666668
1000001837_20min_s7_mODC.2_pup1-rfp_none,0,0.13465196076944913,0.5967053040196166,0.01556213978373895,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-229.50394513403623,20min_s7,Replicate 3,438.61735,2821.01,22.5593,23.5753,1334,1073.89,818.882,0.321563,172.31441666666666,43078.60416666667,35221.41666666667,140.88566666666665
1000001838_20min_s4_mODC.2_pup1-rfp_none,0,0.0831527269892744,0.5556368316815553,0.01711298797923997,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-226.5590480965053,20min_s4,Replicate 1,486.5700166666667,2627.67,20.0387,24.6886,1240,686.645,1001.65,0.328321,153.96491666666668,43879.90125,47826.5575,167.81216666666666
1000001838_20min_s7_mODC.2_pup1-rfp_none,0,0.14768908509045772,0.2216455899090495,0.03017412125610216,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-208.977492993347,20min_s7,Replicate 3,252.9893500000001,2484.98,20.1284,23.1888,1170,957.947,968.848,0.333848,123.79841666666664,20055.3595,24019.902,148.2706666666667
1000001840_20min_s4_mODC.2_pup1-rfp_none,0,0.10116977358073743,0.11535201162529682,0.04818197503892012,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-194.46948232020085,20min_s4,Replicate 1,370.1410166666667,972.789,12.6191,14.0123,443,657.304,1021.57,0.438532,88.70491666666668,1330.57375,1355.2925,90.35316666666664
1000001842_20min_s4_mODC.2_pup1-rfp_none,0,0.08181713798787296,0.2676705135016914,0.02928679715468709,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-209.90277601967645,20min_s4,Replicate 1,598.1860166666667,2416.48,20.8797,21.85,1138,1093.09,424.581,0.336591,112.89091666666666,15917.593249999998,27376.7495,194.1611666666667
1000001843_20min_s4_mODC.2_pup1-rfp_none,0,0.09254748603362528,0.2766615097167462,0.01656488436812041,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-227.56818027524085,20min_s4,Replicate 1,225.31601666666663,2673.16,20.6408,24.3852,1261,718.602,804.464,0.326441,170.91291666666666,42215.514416666665,84267.48316666667,341.16416666666663
1000001843_20min_s7_mODC.2_pup1-rfp_none,0,0.0913639065251298,0.3747679469294692,0.01726258673867458,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-226.28922914175504,20min_s7,Replicate 3,687.5693500000001,3586.39,25.0364,27.1571,1706,1143.98,811.815,0.298874,201.7024166666667,57686.79516666666,44077.172666666665,154.11566666666667
1000001844_20min_s4_mODC.2_pup1-rfp_none,0,0.1359600187967384,0.3110117991401122,0.02403373171648669,yeGFP-mODC,pup1-rfp,none,dy.dm.f,-216.03080870289912,20min_s4,Replicate 1,351.01301666666666,2865.22,22.3879,24.1788,1356,850.432,675.968,0.320138,137.7169166666667,26441.744,31127.74400000001,162.12416666666667
