cell.id,f,dy,dm,value,degron,red,treatment,model,aic,exp.field,colony,gfp.mean.bg.af.sub.new,area,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,rfp.mean.bg.sub.puncta,rfp.sum.bg.sub.puncta,dapi.sum.bg.sub.puncta,dapi.mean.bg.sub.puncta
1000000000_20min_s3_mODC_pup1-rfp_2.5uM,0.1,0.03966812144034889,1884.2530250378593,0.1028686601275961,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-170.9569730528678,20min_s3,1,215.45099999999996,2491.19,19.3724,24.1469,1173,921.023,1012.86,0.333527,135.61700000000002,24139.826,1088.1239999999962,6.1129999999999995
1000000000_20min_s5_mODC_pup1-rfp_dmso2,0,0.07787916716714739,0.5031795527574571,0.02599418164936042,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-213.5999623493797,20min_s5,2,157.17512026286602,4041.91,25.3649,30.3401,1928,754.231,921.548,0.288135,182.619,59533.761999999995,3269.613999999994,10.028999999999996
1000000000_20min_s6_mODC_pup1-rfp_1uM,0,0.03981578118951461,86.76287619467416,0.03547659903606976,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-203.9589447791591,20min_s6,2,629.79525,2819.51,21.918,24.3142,1331,1082.53,827.255,0.321371,156.62699999999998,31795.360999999997,1251.71875,6.166249999999991
1000000001_20min_s3_mODC_pup1-rfp_2.5uM,0,0.04780942689211309,0.3349970799335809,0.02598991870588942,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-213.60504664426963,20min_s3,1,364.934,3004.32,22.6438,25.1944,1424,1166.42,780.632,0.315378,131.798,21483.071,-138.7459999999992,-0.8509999999999991
1000000001_20min_s5_mODC_pup1-rfp_1uM,0,0.06317476886952193,3.1378576276319636,0.03238568273626142,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-206.7848075248176,20min_s5,2,502.1577999999999,2054.99,18.6841,20.5648,962,1126.22,794.985,0.353468,166.4056,38938.8164,-1268.1399999999994,-5.419000000000011
1000000001_20min_s5_mODC_pup1-rfp_2.5uM,0.1,0.04386297729418126,289.3969928620071,0.24472499928154232,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-144.0898280129225,20min_s5,2,691.612,944.94,12.6326,13.6329,430,1151.75,793.844,0.442265,161.86374999999998,26221.9715,-1743.7560000000012,-10.763999999999982
1000000001_20min_s6_mODC_pup1-rfp_5uM,0.1,0.00596722448148114,4.362624584520642,0.01628526572926702,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-228.09593355086193,20min_s6,2,813.45875,2704.95,21.9476,23.2566,1277,1175.11,657.055,0.325511,206.955,65811.84,2597.7420000000056,8.169000000000011
1000000001_20min_s7_mODC_pup1-rfp_1uM,0.1,0.07826627089685924,3941.813420026829,0.15469016467414007,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-158.3098674449679,20min_s7,3,129.484,2669.73,19.5356,25.7964,1260,1086.02,898.198,0.326606,101.946,12131.538,832.9240000000009,6.998999999999995
1000000001_20min_s8_mODC_pup1-rfp_dmso2,0,0.1291591832209772,0.3538109630112218,0.04499847248214245,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-196.58853211254583,20min_s8,3,157.660120262866,3256.95,18.5981,33.1859,1538,867.534,940.619,0.306367,148.178,32599.2,2853.8799999999974,12.97199999999998
1000000002_20min_s4_mODC_pup1-rfp_2.5uM,0,0.05891523718569515,0.18137911171565943,0.03680429478839336,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-202.81996610576655,20min_s4,1,304.581,2862.65,22.8037,23.6745,1354,1002.57,922.457,0.320166,173.82,46062.275,2711.2000000000044,10.230999999999996
1000000002_20min_s5_mODC_pup1-rfp_1uM,0.1,0.04725487112720158,71.04998402619984,0.02110158419330036,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-220.0642253321257,20min_s5,2,481.6468,3320.58,23.2305,27.0464,1577,947.847,1000.07,0.306079,184.8496,50279.1712,-397.1200000000026,-1.460000000000008
1000000002_20min_s6_mODC_pup1-rfp_1uM,0.1,0.04422472352771058,123.71888136107653,0.02497087311748442,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-214.8450048069541,20min_s6,2,373.76725,2424.93,20.5923,22.1019,1141,1041.98,883.598,0.336373,133.987,19428.115,139.65625,0.963249999999988
1000000002_20min_s7_mODC_pup1-rfp_5uM,0,0.04171048193902201,121.59540785914932,0.00403644951589143,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-271.337687328421,20min_s7,3,337.30075,3387.62,22.8508,28.1858,1610,1114.49,828.07,0.304068,132.46300000000002,31658.717,-631.6200000000026,-2.6430000000000007
1000000002_20min_s8_mODC_pup1-rfp_1uM,0.1,0.03068438141800803,818.745974054221,0.14082345749450498,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-161.2212990149872,20min_s8,3,223.17499999999995,4013.67,24.5232,31.3014,1915,1167.11,804.042,0.288599,118.672,22310.304,2421.884000000002,12.882000000000003
1000000002_20min_s8_mODC_pup1-rfp_2.5uM,0,0.05751561783110058,308.9770278684239,0.02668744564210519,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-212.78402610861917,20min_s8,3,186.683,3182.73,22.5468,26.8128,1509,1138.87,699.93,0.30982,169.97500000000002,46063.127,1451.1270000000004,5.35499999999999
1000000002_20min_s8_mODC_pup1-rfp_5uM,0.1,0.01424660989258952,4.039928789226404,0.0094261989256528,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-245.04573608898292,20min_s8,3,360.40475,2045.77,17.2631,22.1555,958,780.138,1021.42,0.353818,156.813,31362.6,1247,6.234999999999985
1000000003_20min_s3_mODC_pup1-rfp_2.5uM,0.00831311591213746,0.03787496590101411,0.1821274755109277,0.02166497027811521,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-219.24741980499655,20min_s3,1,671.02,2360.06,19.5147,22.7614,1110,1084.26,881.803,0.338889,165.714,33308.517,634.2579999999944,3.1559999999999775
